1439 1 44.0821 35.2315 10.0021
1440 1 46.9303 36.8844 10.0043
1441 1 49.778 38.5359 10.0062
1442 1 52.6252 40.1866 10.0078
1443 1 55.472 41.8363 10.0091
1521 1 7.19404 10.1564 9.84107
1522 1 10.002 11.8893 9.88482
1523 1 12.8218 13.6064 9.9214
1524 1 15.6513 15.309 9.94833
1525 1 18.488 16.9993 9.96621
1526 1 21.3295 18.6799 9.97733
1527 1 24.1738 20.3529 9.98395
1528 1 27.0198 22.0204 9.98838
1529 1 29.8665 23.6838 9.99196
1530 1 32.7137 25.3436 9.99516
1531 1 35.5607 27.0009 9.99813
1532 1 38.4074 28.6562 10.0009
1533 1 41.254 30.3097 10.0034
1534 1 44.1002 31.9619 10.0055
1535 1 46.9461 33.613 10.0073
1536 1 49.7918 35.2629 10.0089
1537 1 52.6374 36.912 10.01
1538 1 55.4826 38.5604 10.0111
1539 1 58.3277 40.2082 10.012
1540 1 61.1728 41.8553 10.0127
1618 1 4.52948 5.13064 9.76034
1619 1 7.31394 6.8844 9.8046
1620 1 10.1089 8.62377 9.85372
1621 1 12.9153 10.3462 9.89884
1622 1 15.7324 12.0523 9.93482
1623 1 18.558 13.7441 9.96045
1624 1 21.3899 15.4246 9.97728
1625 1 24.2262 17.0964 9.9875
1626 1 27.0653 18.762 9.99359
1627 1 29.9062 20.4231 9.99767
1628 1 32.7482 22.0806 10.0007
1629 1 35.591 23.7355 10.0031
1630 1 38.434 25.3886 10.0053
1631 1 41.2772 27.0403 10.0072
1632 1 44.1206 28.6906 10.0088
1633 1 46.9641 30.34 10.0101
1634 1 49.8075 31.9886 10.0113
1635 1 52.6511 33.6364 10.0122
1636 1 55.4947 35.2836 10.0129
1637 1 58.3383 36.9304 10.0136
1638 1 61.1819 38.5767 10.0141
1639 1 64.0256 40.2225 10.0145
1640 1 66.8694 41.8678 10.0149
1718 1 1.8963 0.0836615 9.71925
1719 1 4.66937 1.84903 9.74033
1720 1 7.44634 3.60703 9.77893
1721 1 10.2305 5.35206 9.82742
1722 1 13.0242 7.07993 9.87634
